Brand,Category_URL,Price_Rs,Product_Code,Product_Name,Product_URL,Rating,Seller
SWAYAM,https://www.myntra.com/ppe-suit,999,11853480,SWAYAM Blue Personal Protection Equipment Kit (PPE Kit) In Non-Woven,https://www.myntra.com/protective-bodysuits/swayam/swayam-blue-personal-protection-equipment-kit-ppe-kit-in-non-woven/11853480/buy,0,LINEN DESIGN
Apsis,https://www.myntra.com/ppe-suit,499,11955318,Apsis Unisex White Protective Bodysuit,https://www.myntra.com/protective-bodysuits/apsis/apsis-unisex-white-protective-bodysuit/11955318/buy,3.75,TEAKWOOD
LONDON FASHION hob,https://www.myntra.com/ppe-suit,779,12146104,London Fashion Unisex Set of 2 White Solid Pre Protective Body Suit & Boot Cover,https://www.myntra.com/protective-bodysuits/london-fashion-hob/london-fashion-unisex-set-of-2-white-solid-pre-protective-body-suit--boot-cover/12146104/buy,0,HOUSE OF BRANDS FASHION LLP
Alcis,https://www.myntra.com/ppe-suit,974,11842536,Alcis Pre Protective Suit,https://www.myntra.com/protective-bodysuits/alcis/alcis-pre-protective-suit/11842536/buy,0,Alcis Sports Pvt Ltd
SWAYAM,https://www.myntra.com/ppe-suit,759,11942598,Swayam Unisex Blue Non Woven Sealed Pre Protective Bodysuit & Mask,https://www.myntra.com/protective-bodysuits/swayam/swayam-unisex-blue-non-woven-sealed-pre-protective-bodysuit--mask/11942598/buy,0,LINEN DESIGN
SWAYAM,https://www.myntra.com/ppe-suit,674,11942594,Swayam Blue Grade-B-60 GSM Repellent Breathable 10 PSI Pre Protective Equipment Kit,https://www.myntra.com/protective-bodysuits/swayam/swayam-blue-grade-b-60-gsm-repellent-breathable-10-psi-pre-protective-equipment-kit/11942594/buy,0,LINEN DESIGN
SWISS MILITARY,https://www.myntra.com/ppe-suit,1434,12013822,SWISS MILITARY Unisex White Protective Body Suit with Goggles & Boot covers,https://www.myntra.com/protective-bodysuits/swiss-military/swiss-military-unisex-white-protective-body-suit-with-goggles--boot-covers/12013822/buy,0,SWISS MILITARY LIFESTYLE PRODUCTS PVT LTD
Alcis,https://www.myntra.com/ppe-suit,1274,11842534,Alcis Pre Protective Equipment Kit,https://www.myntra.com/protective-bodysuits/alcis/alcis-pre-protective-equipment-kit/11842534/buy,0,Alcis Sports Pvt Ltd
SWAYAM,https://www.myntra.com/ppe-suit,879,11942586,Swayam Blue Non Woven Sealed High Breathable 60 GSM-SMS Protective Bodysuit,https://www.myntra.com/protective-bodysuits/swayam/swayam-blue-non-woven-sealed-high-breathable-60-gsm-sms-protective-bodysuit/11942586/buy,0,LINEN DESIGN
SWAYAM,https://www.myntra.com/ppe-suit,879,11942590,Swayam Unisex White Solid Premium 60 GSM Pre Protective Equipment Kit (Non Breathable),https://www.myntra.com/protective-bodysuits/swayam/swayam-unisex-white-solid-premium-60-gsm-pre-protective-equipment-kit-non-breathable/11942590/buy,0,LINEN DESIGN
SWAYAM,https://www.myntra.com/ppe-suit,759,11942588,Swayam Unisex White Protective Body Suit with Goggles & Boot covers,https://www.myntra.com/protective-bodysuits/swayam/swayam-unisex-white-protective-body-suit-with-goggles--boot-covers/11942588/buy,0,LINEN DESIGN
yelloe,https://www.myntra.com/ppe-suit,773,12102590,yelloe Blue Set of 4 Protective Body Suit & Face Shield & Gloves with Mask & Boot Cover,https://www.myntra.com/protective-bodysuits/yelloe/yelloe-blue-set-of-4-protective-body-suit--face-shield--gloves-with-mask--boot-cover/12102590/buy,0,Indiflashmart
